Seq	sample	Entrez_old	Entrez	Symbol
10485	WBSCR22	114049	114049	BUD23
10486	GDAP2	54834	54834	GDAP2
10487	GDAP1	54332	54332	GDAP1
10488	LOC285735	285735	285735	LINC00326
10489	ZSWIM6	57688	57688	ZSWIM6
10490	ZDHHC21	340481	340481	ZDHHC21
10491	LOC285733	285733	100507203	SMLR1
10492	LRRC70	100130733	100130733	LRRC70
10493	DNALI1	7802	7802	DNALI1
10494	GCSH	2653	2653	GCSH
10495	ZSWIM7	125150	125150	ZSWIM7
10496	LOC100130557	100130557	100130557	NFYC-AS1
10497	AP3D1	8943	8943	AP3D1
10498	PTTG1	9232	9232	PTTG1
10499	ZSWIM1	90204	90204	ZSWIM1
10500	LOC340357	340357	340357	LOC340357
10501	ILDR2	387597	387597	ILDR2
10502	ILDR1	286676	286676	ILDR1
10503	SNORD18A	595098	595098	SNORD18A
10504	FAM71E1	112703	112703	FAM71E1
10505	FAM71E2	284418	284418	FAM71E2
10506	MEIS3P1	4213	4213	MEIS3P1
10507	SULT1A1	6817	6817	SULT1A1
10508	OSTalpha	200931	200931	SLC51A
10509	SULT1A2	6799	6799	SULT1A2
10510	BARX2	8538	8538	BARX2
10511	RBBP7	5931	5931	RBBP7
10512	CABYR	26256	26256	CABYR
10513	BARX1	56033	56033	BARX1
10514	IL3RA	3563	3563	IL3RA
10515	NOL8	55035	55035	NOL8
10516	CHTF18	63922	63922	CHTF18
10517	C19orf18	147685	147685	C19orf18
10518	NOL4	8715	8715	NOL4
10519	NOL7	51406	51406	NOL7
10520	NOL6	65083	65083	NOL6
10521	OLIG2	10215	10215	OLIG2
10522	C19orf12	83636	83636	C19orf12
10523	NOL3	8996	8996	NOL3
10524	C19orf10	56005	56005	MYDGF
10525	TTTY2	60439	60439	TTTY2
10526	NIPSNAP1	8508	8508	NIPSNAP1
10527	OR9I1	219954	219954	OR9I1
10528	TTTY6	84672	84672	TTTY6
10529	TTTY7	246122	246122	TTTY7
10530	FAM156A	29057	29057	FAM156A
10531	TTTY5	83863	83863	TTTY5
10532	USP1	7398	7398	USP1
10533	TMEM52	339456	339456	TMEM52
10534	TTTY8	84673	84673	TTTY8
10535	KRTAP9-8	83901	83901	KRTAP9-8
10536	DCAKD	79877	79877	DCAKD
10537	TMEM53	79639	79639	TMEM53
10538	TMEM70	54968	54968	TMEM70
10539	TNFSF9	8744	8744	TNFSF9
10540	CLPTM1	1209	1209	CLPTM1
10541	C17orf39	79018	79018	GID4
10542	RAB7L1	8934	8934	RAB29
10543	C17orf37	84299	84299	MIEN1
10544	LOC145783	145783	145783	LOC145783
10545	CDC40	51362	51362	CDC40
10546	CDC42	998	998	CDC42
10547	NEK10	152110	152110	NEK10
10548	KRTAP9-9	81870	81870	KRTAP9-9
10549	TAS2R13	50838	50838	TAS2R13
10550	NADSYN1	55191	55191	NADSYN1
10551	TECR	9524	9524	TECR
10552	PGLYRP3	114771	114771	PGLYRP3
10553	PGLYRP2	114770	114770	PGLYRP2
10554	PGLYRP1	8993	8993	PGLYRP1
10555	ACRV1	56	56	ACRV1
10556	PDDC1	347862	347862	GATD1
10557	CHAF1B	8208	8208	CHAF1B
10558	VCY	9084	9084	VCY
10559	BIN1	274	274	BIN1
10560	BIN3	55909	55909	BIN3
10561	BIN2	51411	51411	BIN2
10562	RGS22	26166	26166	RGS22
10563	RGS21	431704	431704	RGS21
10564	RGS20	8601	8601	RGS20
10565	DPYD	1806	1806	DPYD
10566	SNORA36C	100124535	100124535	SNORA36C
10567	UBTF	7343	7343	UBTF
10568	PIPSL	266971	266971	PIPSL
10569	CDCA2	157313	157313	CDCA2
10570	CDCA3	83461	83461	CDCA3
10571	YLPM1	56252	56252	YLPM1
10572	CDCA7	83879	83879	CDCA7
10573	CDCA4	55038	55038	CDCA4
